First Name,Last Name,Gender,Date of Birth,Contact Type
Dr.Micheal,Miller,Male,12/14/73,Faculty
Robert,Gay,Male,11/22/00,Student
Dr.David,Patterson,Male,03/10/1962,Faculty
Lisa,Houston,Female,3/24/03,Student
Patricia,Phillips,Female,11/04/2001,Student
Stacey,Perkins,Female,7/22/02,Student
Amanda,Vang,Female,6/16/01,Student
Robert,Wright,Male,12/21/01,Student
Karen,Gonzalez,Female,3/21/04,Student
Rebekah,Peterson,Female,4/30/04,Student
Austin,Summers,Male,3/30/02,Student
Kimberly,Sherman,Female,08/08/2002,Student
Thomas,Pacheco,Male,10/08/2000,Student
Sheila,Benitez,Female,10/28/03,Student
Susan,Chan,Female,12/28/03,Student
Dr.Grace,Jones,Female,04/01/1966,Faculty
Daniel,Rangel,Male,1/13/02,Student
Yolanda,Conway,Female,4/30/03,Student
Katrina,Lewis,Female,04/11/2003,Student
Jillian,Daniels,Female,11/30/01,Student
Belinda,Hopkins,Female,9/14/00,Student
Dr.Alicia,Beasley,Female,7/30/76,Faculty
Alexandra,Nguyen,Female,1/14/02,Student
Anthony,Munoz,Male,9/18/00,Student
Hector,Acevedo,Male,10/13/02,Student
Stacey,Jimenez,Female,06/11/2002,Student
Dr.Brandon,Durham,Male,06/10/1957,Faculty
Joshua,Daugherty,Male,10/11/2001,Student
Dr.Sarah,Holloway,Female,06/11/1978,Faculty
David,Harrell,Male,08/04/2004,Student
Alex,Brown,Male,10/31/00,Student
Lori,Mayer,Female,01/01/2004,Student
Jill,Smith,Female,04/10/2004,Student
Aaron,Roberts,Male,4/26/04,Student
Timothy,Wiley,Male,09/02/2000,Student
Matthew,Lee,Male,7/16/04,Student
Dr.Jeffrey,Howard,Male,4/22/66,Faculty
Dr.Angelica,Johnson,Female,4/25/57,Faculty
