Name,Degree,Student,Module,Class,Start Date,End Date,Year,Academic Year
ERP_20001_Enrolment_CSE-966,BSc Computer Science,Kevin Benton,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-758,BSc Computer Science,Kevin Benton,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-554,BSc Computer Science,Kevin Benton,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-457,BSc Computer Science,Kevin Benton,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-287,BSc Computer Science,Kevin Benton,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-935,BSc Computer Science,Kevin Benton,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-200,BSc Computer Science,Kevin Benton,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-340,BSc Computer Science,Kevin Benton,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-209,BSc Computer Science,Kevin Benton,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-656,BSc Computer Science,Shawn Gonzalez,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-966,BSc Computer Science,Shawn Gonzalez,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-758,BSc Computer Science,Shawn Gonzalez,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-554,BSc Computer Science,Shawn Gonzalez,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-457,BSc Computer Science,Shawn Gonzalez,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-287,BSc Computer Science,Shawn Gonzalez,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-935,BSc Computer Science,Shawn Gonzalez,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-200,BSc Computer Science,Shawn Gonzalez,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-340,BSc Computer Science,Shawn Gonzalez,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20002_Enrolment_CSE-209,BSc Computer Science,Shawn Gonzalez,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-656,BSc Computer Science,Diana Ramirez,Re-Intermediate Rich Bandwidth,CSE-656_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-966,BSc Computer Science,Diana Ramirez,Empower Revolutionary Markets,CSE-966_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-758,BSc Computer Science,Diana Ramirez,Engage Transparent Convergence,CSE-758_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-554,BSc Computer Science,Diana Ramirez,Reinvent Best-Of-Breed Experiences,CSE-554_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-457,BSc Computer Science,Diana Ramirez,Facilitate Magnetic Synergies,CSE-457_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-287,BSc Computer Science,Diana Ramirez,Redefine Distributed Vortals,CSE-287_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-935,BSc Computer Science,Diana Ramirez,Leverage Revolutionary Web Services,CSE-935_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-200,BSc Computer Science,Diana Ramirez,Generate Extensible Partnerships,CSE-200_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-340,BSc Computer Science,Diana Ramirez,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20003_Enrolment_CSE-209,BSc Computer Science,Diana Ramirez,Visualize Cross-Media Info-Mediaries,CSE-209_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-656,BSc Computer Science,Shawn Maxwell,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-966,BSc Computer Science,Shawn Maxwell,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-758,BSc Computer Science,Shawn Maxwell,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-554,BSc Computer Science,Shawn Maxwell,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-457,BSc Computer Science,Shawn Maxwell,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-287,BSc Computer Science,Shawn Maxwell,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-935,BSc Computer Science,Shawn Maxwell,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-200,BSc Computer Science,Shawn Maxwell,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-340,BSc Computer Science,Shawn Maxwell,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20004_Enrolment_CSE-209,BSc Computer Science,Shawn Maxwell,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-656,BSc Computer Science,Travis Harvey,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-966,BSc Computer Science,Travis Harvey,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-758,BSc Computer Science,Travis Harvey,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-554,BSc Computer Science,Travis Harvey,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-457,BSc Computer Science,Travis Harvey,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-287,BSc Computer Science,Travis Harvey,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-935,BSc Computer Science,Travis Harvey,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-200,BSc Computer Science,Travis Harvey,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-340,BSc Computer Science,Travis Harvey,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20005_Enrolment_CSE-209,BSc Computer Science,Travis Harvey,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-656,BSc Computer Science,Jennifer Nunez,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-966,BSc Computer Science,Jennifer Nunez,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-758,BSc Computer Science,Jennifer Nunez,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-554,BSc Computer Science,Jennifer Nunez,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-457,BSc Computer Science,Jennifer Nunez,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-287,BSc Computer Science,Jennifer Nunez,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-935,BSc Computer Science,Jennifer Nunez,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-200,BSc Computer Science,Jennifer Nunez,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-340,BSc Computer Science,Jennifer Nunez,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20006_Enrolment_CSE-209,BSc Computer Science,Jennifer Nunez,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-656,BSc Computer Science,Mason Morris,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-966,BSc Computer Science,Mason Morris,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-758,BSc Computer Science,Mason Morris,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-554,BSc Computer Science,Mason Morris,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-457,BSc Computer Science,Mason Morris,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-287,BSc Computer Science,Mason Morris,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-935,BSc Computer Science,Mason Morris,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-200,BSc Computer Science,Mason Morris,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-340,BSc Computer Science,Mason Morris,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20007_Enrolment_CSE-209,BSc Computer Science,Mason Morris,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-656,BSc Computer Science,Carolyn Sherman,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-966,BSc Computer Science,Carolyn Sherman,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-758,BSc Computer Science,Carolyn Sherman,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-554,BSc Computer Science,Carolyn Sherman,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-457,BSc Computer Science,Carolyn Sherman,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-287,BSc Computer Science,Carolyn Sherman,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-935,BSc Computer Science,Carolyn Sherman,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-200,BSc Computer Science,Carolyn Sherman,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-340,BSc Computer Science,Carolyn Sherman,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20008_Enrolment_CSE-209,BSc Computer Science,Carolyn Sherman,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-656,BSc Computer Science,Wendy Fuller,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-966,BSc Computer Science,Wendy Fuller,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-758,BSc Computer Science,Wendy Fuller,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-554,BSc Computer Science,Wendy Fuller,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-457,BSc Computer Science,Wendy Fuller,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-287,BSc Computer Science,Wendy Fuller,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-935,BSc Computer Science,Wendy Fuller,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-200,BSc Computer Science,Wendy Fuller,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-340,BSc Computer Science,Wendy Fuller,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20009_Enrolment_CSE-209,BSc Computer Science,Wendy Fuller,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-656,BSc Computer Science,Melanie Young,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-966,BSc Computer Science,Melanie Young,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-758,BSc Computer Science,Melanie Young,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-554,BSc Computer Science,Melanie Young,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-457,BSc Computer Science,Melanie Young,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-287,BSc Computer Science,Melanie Young,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-935,BSc Computer Science,Melanie Young,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-200,BSc Computer Science,Melanie Young,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-340,BSc Computer Science,Melanie Young,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20010_Enrolment_CSE-209,BSc Computer Science,Melanie Young,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-656,BSc Computer Science,Vincent Kim,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-966,BSc Computer Science,Vincent Kim,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-758,BSc Computer Science,Vincent Kim,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-554,BSc Computer Science,Vincent Kim,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-457,BSc Computer Science,Vincent Kim,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-287,BSc Computer Science,Vincent Kim,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-935,BSc Computer Science,Vincent Kim,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-200,BSc Computer Science,Vincent Kim,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-340,BSc Computer Science,Vincent Kim,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20011_Enrolment_CSE-209,BSc Computer Science,Vincent Kim,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-656,BSc Computer Science,Patricia Haney,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-966,BSc Computer Science,Patricia Haney,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-758,BSc Computer Science,Patricia Haney,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-554,BSc Computer Science,Patricia Haney,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-457,BSc Computer Science,Patricia Haney,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-287,BSc Computer Science,Patricia Haney,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-935,BSc Computer Science,Patricia Haney,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-200,BSc Computer Science,Patricia Haney,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-340,BSc Computer Science,Patricia Haney,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20012_Enrolment_CSE-209,BSc Computer Science,Patricia Haney,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-656,BSc Computer Science,Jason Franco,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-966,BSc Computer Science,Jason Franco,Empower Revolutionary Markets,CSE-966_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-758,BSc Computer Science,Jason Franco,Engage Transparent Convergence,CSE-758_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-554,BSc Computer Science,Jason Franco,Reinvent Best-Of-Breed Experiences,CSE-554_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-457,BSc Computer Science,Jason Franco,Facilitate Magnetic Synergies,CSE-457_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-287,BSc Computer Science,Jason Franco,Redefine Distributed Vortals,CSE-287_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-935,BSc Computer Science,Jason Franco,Leverage Revolutionary Web Services,CSE-935_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-200,BSc Computer Science,Jason Franco,Generate Extensible Partnerships,CSE-200_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-340,BSc Computer Science,Jason Franco,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20013_Enrolment_CSE-209,BSc Computer Science,Jason Franco,Visualize Cross-Media Info-Mediaries,CSE-209_Class_1,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-656,BSc Computer Science,John York,Re-Intermediate Rich Bandwidth,CSE-656_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-966,BSc Computer Science,John York,Empower Revolutionary Markets,CSE-966_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-758,BSc Computer Science,John York,Engage Transparent Convergence,CSE-758_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-554,BSc Computer Science,John York,Reinvent Best-Of-Breed Experiences,CSE-554_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-457,BSc Computer Science,John York,Facilitate Magnetic Synergies,CSE-457_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-287,BSc Computer Science,John York,Redefine Distributed Vortals,CSE-287_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-935,BSc Computer Science,John York,Leverage Revolutionary Web Services,CSE-935_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-200,BSc Computer Science,John York,Generate Extensible Partnerships,CSE-200_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-340,BSc Computer Science,John York,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20014_Enrolment_CSE-209,BSc Computer Science,John York,Visualize Cross-Media Info-Mediaries,CSE-209_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-656,BSc Computer Science,Garrett Rivera,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-966,BSc Computer Science,Garrett Rivera,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-758,BSc Computer Science,Garrett Rivera,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-554,BSc Computer Science,Garrett Rivera,Reinvent Best-Of-Breed Experiences,CSE-554_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-457,BSc Computer Science,Garrett Rivera,Facilitate Magnetic Synergies,CSE-457_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-287,BSc Computer Science,Garrett Rivera,Redefine Distributed Vortals,CSE-287_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-935,BSc Computer Science,Garrett Rivera,Leverage Revolutionary Web Services,CSE-935_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-200,BSc Computer Science,Garrett Rivera,Generate Extensible Partnerships,CSE-200_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-340,BSc Computer Science,Garrett Rivera,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20015_Enrolment_CSE-209,BSc Computer Science,Garrett Rivera,Visualize Cross-Media Info-Mediaries,CSE-209_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20016_Enrolment_CSE-656,BSc Computer Science,Zachary Young,Re-Intermediate Rich Bandwidth,CSE-656_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20016_Enrolment_CSE-966,BSc Computer Science,Zachary Young,Empower Revolutionary Markets,CSE-966_Class_2,08/11/2024,06/03/2024,Freshman,2024
ERP_20016_Enrolment_CSE-758,BSc Computer Science,Zachary Young,Engage Transparent Convergence,CSE-758_Class_2,08/11/2024,06/03/2024,Freshman,2024
